haul,species,relative_biomass
1,Anguilla anguilla,0
1,Arctozenus risso,0.005
1,Argentina spp. ,0
1,Argyropelecus olfersii,0
1,Conger conger,0
1,Echiodon drummondii,0
1,Electrona risso,0
1,Gadiculus argenteus,0
1,Helicolenus dactylopterus,0
1,Macroparalepis affinis,0
1,Maurolicus muelleri,99.979
1,Micromesistius poutassou,0
1,Nansenia groenlandica,0.015
1,Protomyctophum arcticum,0
1,Solea spp.,0
1,Trachurus trachurus,0
1,Zeugopterus punctatus,0
2,Anguilla anguilla,1.939
2,Arctozenus risso,1.251
2,Argentina spp. ,0
2,Argyropelecus olfersii,1.626
2,Conger conger,3.503
2,Echiodon drummondii,0.097
2,Electrona risso,0
2,Gadiculus argenteus,0
2,Helicolenus dactylopterus,0.019
2,Macroparalepis affinis,0.25
2,Maurolicus muelleri,85.499
2,Micromesistius poutassou,0
2,Nansenia groenlandica,2.439
2,Protomyctophum arcticum,0
2,Solea spp.,0
2,Trachurus trachurus,3.377
2,Zeugopterus punctatus,0
3,Anguilla anguilla,0.047
3,Arctozenus risso,0.005
3,Argentina spp. ,0
3,Argyropelecus olfersii,0
3,Conger conger,0.044
3,Echiodon drummondii,0
3,Electrona risso,0
3,Gadiculus argenteus,0
3,Helicolenus dactylopterus,0
3,Macroparalepis affinis,0.001
3,Maurolicus muelleri,99.822
3,Micromesistius poutassou,0
3,Nansenia groenlandica,0.08
3,Protomyctophum arcticum,0
3,Solea spp.,0.001
3,Trachurus trachurus,0
3,Zeugopterus punctatus,0
4,Anguilla anguilla,5.911
4,Arctozenus risso,0.045
4,Argentina spp. ,0.009
4,Argyropelecus olfersii,0
4,Conger conger,0.041
4,Echiodon drummondii,0.091
4,Electrona risso,0
4,Gadiculus argenteus,0.023
4,Helicolenus dactylopterus,0
4,Macroparalepis affinis,0.318
4,Maurolicus muelleri,93.166
4,Micromesistius poutassou,0
4,Nansenia groenlandica,0.059
4,Protomyctophum arcticum,0
4,Solea spp.,0.15
4,Trachurus trachurus,0.146
4,Zeugopterus punctatus,0.041
5,Anguilla anguilla,0.203
5,Arctozenus risso,0
5,Argentina spp. ,0
5,Argyropelecus olfersii,0
5,Echiodon drummondii,0.011
5,Conger conger,0
5,Electrona risso,0
5,Gadiculus argenteus,0
5,Helicolenus dactylopterus,0
5,Macroparalepis affinis,0.001
5,Maurolicus muelleri,99.782
5,Micromesistius poutassou,0
5,Nansenia groenlandica,0
5,Protomyctophum arcticum,0
5,Solea spp.,0.003
5,Trachurus trachurus,0
5,Zeugopterus punctatus,0
6,Anguilla anguilla,0.641
6,Arctozenus risso,0.245
6,Argentina spp. ,0
6,Argyropelecus olfersii,0.731
6,Conger conger,1.026
6,Echiodon drummondii,0.014
6,Electrona risso,0.013
6,Gadiculus argenteus,0
6,Helicolenus dactylopterus,0
6,Macroparalepis affinis,3.079
6,Maurolicus muelleri,94.131
6,Micromesistius poutassou,0
6,Nansenia groenlandica,0.119
6,Protomyctophum arcticum,0
6,Solea spp.,0
6,Trachurus trachurus,0
6,Zeugopterus punctatus,0
7,Anguilla anguilla,0
7,Arctozenus risso,0.261
7,Argentina spp. ,0
7,Argyropelecus olfersii,0.85
7,Conger conger,0
7,Echiodon drummondii,0.034
7,Electrona risso,0
7,Gadiculus argenteus,0
7,Helicolenus dactylopterus,0.068
7,Macroparalepis affinis,0.045
7,Maurolicus muelleri,96.061
7,Micromesistius poutassou,0
7,Nansenia groenlandica,2.131
7,Protomyctophum arcticum,0.55
7,Solea spp.,0
7,Trachurus trachurus,0
7,Zeugopterus punctatus,0
8,Anguilla anguilla,0.045
8,Arctozenus risso,0
8,Argentina spp. ,0
8,Argyropelecus olfersii,0
8,Conger conger,0.02
8,Echiodon drummondii,0
8,Electrona risso,0
8,Gadiculus argenteus,0
8,Helicolenus dactylopterus,0
8,Macroparalepis affinis,0.007
8,Maurolicus muelleri,94.778
8,Micromesistius poutassou,4.995
8,Nansenia groenlandica,0
8,Protomyctophum arcticum,0
8,Solea spp.,0
8,Trachurus trachurus,0.155
8,Zeugopterus punctatus,0
